customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12399,119,4,"1038,45",2,3,4,234,At Risk
12401,303,1,"84,3",1,1,1,111,Nearly Lost
12402,323,1,"225,6",1,1,1,111,Nearly Lost
12403,50,1,"427,7",3,1,2,312,Mass Customers
12405,149,1,"1710,39",2,1,4,214,Nearly Lost
12406,22,2,"3415,3",4,2,5,425,Potential Loyalists
12407,50,5,"1621,08",3,4,4,344,At Risk
12408,33,5,"2888,55",4,4,5,445,Champions
12409,79,3,"10649,07",2,3,5,235,At Risk
12410,309,2,"693,33",1,2,3,123,Sleeping
12412,75,3,"1226,88",3,3,4,334,At Risk
12413,67,3,"758,1",3,3,3,333,At Risk
12414,217,3,"562,41",1,3,3,133,Sleeping
12415,25,15,"60316,17",4,5,5,455,Champions
12417,3,9,"3649,1",5,4,5,545,Champions
12418,113,1,"668,58",2,1,3,213,Nearly Lost
12420,64,1,"600,39",3,1,3,313,Nearly Lost
12421,16,4,"807,04",4,3,3,433,Loyal
12422,96,3,"803,56",2,3,3,233,At Risk
12423,1,8,"1859,31",5,4,4,544,Champions
12424,163,2,"1608,32",2,2,4,224,At Risk
12425,78,1,"777,2",2,1,3,213,Nearly Lost
12426,195,1,"582,73",1,1,3,113,Nearly Lost
12427,22,3,"765,32",4,3,3,433,Loyal
12428,26,8,"7405,26",4,4,5,445,Champions
12429,9,4,"3700,0",5,3,5,535,Loyal
12430,43,1,"256,4",3,1,2,312,Mass Customers
12431,60,14,"5192,11",3,5,5,355,At Risk
12432,43,4,"4359,32",3,3,5,335,At Risk
12433,1,7,"12604,51",5,4,5,545,Champions
12434,85,2,"806,14",2,2,3,223,At Risk
12435,80,2,"7120,45",2,2,5,225,At Risk
12436,100,1,"509,01",2,1,2,212,Nearly Lost
12437,2,18,"4873,41",5,5,5,555,Champions
12438,14,2,"2903,97",5,2,5,525,Potential Loyalists
12441,367,1,"173,55",1,1,1,111,Nearly Lost
12442,3,1,"172,06",5,1,1,511,Mass Customers
12444,21,5,"5005,46",4,4,5,445,Champions
12445,22,1,"133,4",4,1,1,411,Mass Customers
12446,58,1,"1002,31",3,1,4,314,Nearly Lost
12447,243,1,"476,49",1,1,2,112,Nearly Lost
12448,44,1,"449,45",3,1,2,312,Mass Customers
12449,22,4,"4067,29",4,3,5,435,Loyal
12450,156,2,"197,88",2,2,1,221,Nearly Lost
12451,11,5,"8933,52",5,4,5,545,Champions
12452,17,2,"430,57",4,2,2,422,Potential Loyalists
12453,134,1,"707,09",2,1,3,213,Nearly Lost
12454,56,1,"2918,34",3,1,5,315,Nearly Lost
12455,73,6,"2308,46",3,4,4,344,At Risk
12456,44,3,"3181,04",3,3,5,335,At Risk
12457,66,7,"2363,23",3,4,4,344,At Risk
12458,71,2,"947,4",3,2,3,323,At Risk
12461,94,2,"826,88",2,2,3,223,At Risk
12462,19,2,"1189,59",4,2,4,424,Potential Loyalists
12463,53,4,"1344,78",3,3,4,334,At Risk
12464,10,8,"1212,05",5,4,4,544,Champions
12465,17,2,"742,19",4,2,3,423,Potential Loyalists
12468,188,2,"729,54",1,2,3,123,Sleeping
12471,2,28,"19278,65",5,5,5,555,Champions
12472,32,7,"6572,11",4,4,5,445,Champions
12473,54,3,"2873,73",3,3,5,335,At Risk
12474,17,18,"7320,09",4,5,5,455,Champions
12475,54,1,"719,38",3,1,3,313,Nearly Lost
12476,16,11,"6816,42",4,5,5,455,Champions
12477,23,6,"12829,74",4,4,5,445,Champions
12478,4,1,"680,99",5,1,3,513,Potential Loyalists
12479,11,1,"527,2",5,1,2,512,Potential Loyalists
12480,28,4,"2964,83",4,3,5,435,Loyal
12481,23,10,"5579,82",4,5,5,455,Champions
12483,17,8,"2484,98",4,4,4,444,Champions
12484,33,6,"4527,32",4,4,5,445,Champions
12488,10,3,"1298,66",5,3,4,534,Loyal
12489,336,1,"334,93",1,1,2,112,Nearly Lost
12490,5,10,"5417,93",5,5,5,555,Champions
12491,39,1,"460,4",3,1,2,312,Mass Customers
12492,63,2,"263,21",3,2,2,322,At Risk
12493,166,2,"397,74",2,2,2,222,At Risk
12494,16,7,"1246,1",4,4,4,444,Champions
12497,82,1,"780,6",2,1,3,213,Nearly Lost
12498,21,3,"403,7",4,3,2,432,Mass Customers
12500,23,11,"2296,54",4,5,4,454,Champions
12501,337,1,"2169,39",1,1,4,114,Nearly Lost
12502,96,5,"3723,87",2,4,5,245,At Risk
12504,18,2,"482,05",4,2,2,422,Potential Loyalists
12506,233,1,"73,5",1,1,1,111,Nearly Lost
12507,134,3,"686,41",2,3,3,233,At Risk
12508,26,2,"397,88",4,2,2,422,Potential Loyalists
12509,284,1,"176,5",1,1,1,111,Nearly Lost
12510,143,2,"982,57",2,2,3,223,At Risk
12512,66,2,"132,18",3,2,1,321,Mass Customers
12513,113,1,"612,29",2,1,3,213,Nearly Lost
12514,267,1,"1017,68",1,1,4,114,Nearly Lost
12515,353,1,"383,7",1,1,2,112,Nearly Lost
12516,78,2,"1208,38",2,2,4,224,At Risk
12517,28,5,"2481,6",4,4,4,444,Champions
12518,1,5,"2056,89",5,4,4,544,Champions
12519,64,1,"330,84",3,1,2,312,Mass Customers
12520,79,5,"2634,26",2,4,5,245,At Risk
12521,143,1,"599,68",2,1,3,213,Nearly Lost
12522,39,2,"188,72",3,2,1,321,Mass Customers
12523,19,11,"1789,77",4,5,4,454,Champions
12524,9,8,"4190,84",5,4,5,545,Champions
12526,1,3,"1316,66",5,3,4,534,Loyal
12527,82,3,"348,71",2,3,2,232,At Risk
12528,9,6,"1933,48",5,4,4,544,Champions
12530,60,4,"1662,28",3,3,4,334,At Risk
12531,15,1,"125,22",5,1,1,511,Mass Customers
12532,30,1,"349,83",4,1,2,412,Potential Loyalists
12534,131,1,"1089,18",2,1,4,214,Nearly Lost
12535,92,2,"716,35",2,2,3,223,At Risk
12536,59,1,"4279,71",3,1,5,315,Nearly Lost
12538,29,1,"363,95",4,1,2,412,Potential Loyalists
12539,22,4,"5568,35",4,3,5,435,Loyal
12540,20,17,"13400,24",4,5,5,455,Champions
12541,30,3,"981,18",4,3,3,433,Loyal
12544,36,1,"372,7",3,1,2,312,Mass Customers
12545,75,2,"1000,39",3,2,4,324,At Risk
12546,47,2,"1161,5",3,2,4,324,At Risk
12547,198,2,"207,8",1,2,1,121,Nearly Lost
12548,166,1,"95,2",2,1,1,211,Nearly Lost
12550,79,1,"964,83",2,1,3,213,Nearly Lost
12551,358,1,"168,0",1,1,1,111,Nearly Lost
12552,39,2,"437,82",3,2,2,322,At Risk
12553,8,10,"3692,28",5,5,5,555,Champions
12556,50,2,"599,56",3,2,3,323,At Risk
12557,16,4,"2501,34",4,3,5,435,Loyal
12558,8,1,"269,96",5,1,2,512,Potential Loyalists
12559,311,2,"561,71",1,2,3,123,Sleeping
12560,5,3,"2134,01",5,3,4,534,Loyal
12561,303,1,"238,85",1,1,1,111,Nearly Lost
12562,8,7,"3781,74",5,4,5,545,Champions
12564,261,1,"456,9",1,1,2,112,Nearly Lost
12565,289,1,"145,92",1,1,1,111,Nearly Lost
12566,86,1,"351,65",2,1,2,212,Nearly Lost
12567,23,10,"9401,28",4,5,5,455,Champions
12569,2,32,"4124,69",5,5,5,555,Champions
12571,40,2,"519,61",3,2,2,322,At Risk
12572,9,2,"1020,42",5,2,4,524,Potential Loyalists
12573,227,1,"160,54",1,1,1,111,Nearly Lost
12574,316,1,"218,45",1,1,1,111,Nearly Lost
12576,36,5,"1315,83",3,4,4,344,At Risk
12577,35,3,"622,65",4,3,3,433,Loyal
12578,21,2,"2794,51",4,2,5,425,Potential Loyalists
12579,78,1,"440,42",2,1,2,212,Nearly Lost
12580,247,1,"415,7",1,1,2,112,Nearly Lost
12581,40,1,"197,71",3,1,1,311,Mass Customers
12582,239,2,"511,36",1,2,2,122,Sleeping
12583,3,15,"6989,78",5,5,5,555,Champions
12584,4,9,"2338,15",5,4,4,544,Champions
12585,234,2,"1901,86",1,2,4,124,Sleeping
12586,17,1,"196,94",4,1,1,411,Mass Customers
12587,8,1,"144,0",5,1,1,511,Mass Customers
12588,39,1,"214,9",3,1,1,311,Mass Customers
12589,29,2,"646,68",4,2,3,423,Potential Loyalists
12590,211,1,"8951,26",1,1,5,115,Nearly Lost
12591,317,1,"452,85",1,1,2,112,Nearly Lost
12592,92,2,"437,6",2,2,2,222,At Risk
12593,109,3,"418,1",2,3,2,232,At Risk
12594,38,10,"3338,22",3,5,5,355,At Risk
12596,51,2,"618,27",3,2,3,323,At Risk
12597,19,4,"3811,22",4,3,5,435,Loyal
12598,10,8,"3023,08",5,4,5,545,Champions
12599,29,7,"1032,58",4,4,4,444,Champions
12600,29,10,"2599,04",4,5,5,455,Champions
12601,190,5,"577,06",1,4,3,143,Sleeping
12602,59,1,"153,12",3,1,1,311,Mass Customers
12603,22,1,"739,2",4,1,3,413,Potential Loyalists
12604,79,2,"254,18",2,2,2,222,At Risk
12607,60,1,"1579,51",3,1,4,314,Nearly Lost
12609,78,3,"1126,85",2,3,4,234,At Risk
12610,23,5,"2099,54",4,4,4,444,Champions
12611,52,1,"1049,32",3,1,4,314,Nearly Lost
12612,74,1,"704,04",3,1,3,313,Nearly Lost
12613,57,5,"3344,38",3,4,5,345,At Risk
12614,278,1,"315,6",1,1,2,112,Nearly Lost
12615,2,4,"2291,19",5,3,4,534,Loyal
12616,95,2,"713,3",2,2,3,223,At Risk
12617,29,1,"352,98",4,1,2,412,Potential Loyalists
12618,22,1,"177,31",4,1,1,411,Mass Customers
12619,16,8,"2277,48",4,4,4,444,Champions
12620,15,3,"1339,41",5,3,4,534,Loyal
12621,2,20,"12121,87",5,5,5,555,Champions
12622,232,1,"180,1",1,1,1,111,Nearly Lost
12623,276,1,"305,1",1,1,2,112,Nearly Lost
12624,106,2,"641,13",2,2,3,223,At Risk
12625,212,2,"2683,82",1,2,5,125,Sleeping
12626,23,9,"6620,48",4,4,5,445,Champions
12627,11,7,"4466,53",5,4,5,545,Champions
12628,4,3,"786,46",5,3,3,533,Loyal
12630,10,2,"1270,88",5,2,4,524,Potential Loyalists
12631,57,1,"640,5",3,1,3,313,Nearly Lost
12633,59,4,"1951,98",3,3,4,334,At Risk
12635,90,2,"1685,18",2,2,4,224,At Risk
12637,67,8,"6002,9",3,4,5,345,At Risk
12638,33,1,"671,69",4,1,3,413,Potential Loyalists
12639,239,1,"486,1",1,1,2,112,Nearly Lost
12640,24,3,"1174,58",4,3,4,434,Loyal
12641,115,1,"185,9",2,1,1,211,Nearly Lost
12642,25,3,"1013,26",4,3,4,434,Loyal
12643,128,6,"1827,6",2,4,4,244,At Risk
12644,130,1,"477,91",2,1,2,212,Nearly Lost
12645,34,4,"1775,18",4,3,4,434,Loyal
12646,5,2,"1346,97",5,2,4,524,Potential Loyalists
12647,22,12,"3722,82",4,5,5,455,Champions
12648,155,1,"318,05",2,1,2,212,Nearly Lost
12649,107,3,"614,87",2,3,3,233,At Risk
12650,3,1,"314,44",5,1,2,512,Potential Loyalists
12651,335,1,"114,0",1,1,1,111,Nearly Lost
12652,331,1,"919,98",1,1,3,113,Nearly Lost
12653,149,2,"2209,85",2,2,4,224,At Risk
12654,11,5,"601,98",5,4,3,543,Loyal
12656,17,5,"4051,17",4,4,5,445,Champions
12657,11,4,"1433,18",5,3,4,534,Loyal
12658,19,1,"686,05",4,1,3,413,Potential Loyalists
12659,30,1,"91,68",4,1,1,411,Mass Customers
12660,11,1,"245,1",5,1,1,511,Mass Customers
12662,1,11,"3849,78",5,5,5,555,Champions
12664,8,9,"4881,88",5,4,5,545,Champions
12665,325,1,"63,0",1,1,1,111,Nearly Lost
12667,58,1,"620,13",3,1,3,313,Nearly Lost
12668,12,4,"3807,15",5,3,5,535,Loyal
12669,151,2,"1607,73",2,2,4,224,At Risk
12670,10,5,"2996,05",5,4,5,545,Champions
12672,330,1,"225,9",1,1,1,111,Nearly Lost
12673,5,2,"610,52",5,2,3,523,Potential Loyalists
12674,39,4,"1970,6",3,3,4,334,At Risk
12676,25,6,"1331,39",4,4,4,444,Champions
12678,42,9,"11040,66",3,4,5,345,At Risk
12679,59,4,"1113,02",3,3,4,334,At Risk
12680,1,4,"880,81",5,3,3,533,Loyal
12681,15,22,"13572,74",5,5,5,555,Champions
12682,4,31,"11678,38",5,5,5,555,Champions
12683,4,15,"8476,57",5,5,5,555,Champions
12684,8,6,"2131,59",5,4,4,544,Champions
12685,28,6,"2863,08",4,4,5,445,Champions
12686,372,1,"89,14",1,1,1,111,Nearly Lost
12688,114,1,"4745,93",2,1,5,215,Nearly Lost
12689,26,2,"1247,61",4,2,4,424,Potential Loyalists
12690,206,1,"389,01",1,1,2,112,Nearly Lost
12691,28,6,"1035,8",4,4,4,444,Champions
12693,127,4,"855,91",2,3,3,233,At Risk
12694,70,2,"869,67",3,2,3,323,At Risk
12695,7,4,"582,1",5,3,3,533,Loyal
12697,29,3,"957,59",4,3,3,433,Loyal
12700,8,4,"4939,99",5,3,5,535,Loyal
12701,80,2,"797,71",2,2,3,223,At Risk
12702,20,1,"219,0",4,1,1,411,Mass Customers
12703,71,1,"283,55",3,1,2,312,Mass Customers
12704,7,8,"2340,84",5,4,4,544,Champions
12705,15,9,"6863,49",5,4,5,545,Champions
12707,292,1,"603,42",1,1,3,113,Nearly Lost
12708,30,10,"2712,91",4,5,5,455,Champions
12709,15,15,"9706,52",5,5,5,555,Champions
12710,97,3,"1149,02",2,3,4,234,At Risk
12712,29,13,"4396,13",4,5,5,455,Champions
12713,1,1,"848,55",5,1,3,513,Potential Loyalists
12714,9,5,"4708,86",5,4,5,545,Champions
12715,106,1,"343,36",2,1,2,212,Nearly Lost
12716,4,2,"1053,49",5,2,4,524,Potential Loyalists
12717,151,2,"1030,98",2,2,4,224,At Risk
12718,71,1,"238,25",3,1,1,311,Mass Customers
12719,5,2,"644,95",5,2,3,523,Potential Loyalists
12720,3,25,"5631,97",5,5,5,555,Champions
12721,32,6,"2653,25",4,4,5,445,Champions
12722,85,4,"997,63",2,3,3,233,At Risk
12723,4,5,"725,07",5,4,3,543,Loyal
12724,5,4,"1031,41",5,3,4,534,Loyal
12725,371,1,"427,8",1,1,2,112,Nearly Lost
12726,28,7,"2572,62",4,4,5,445,Champions
12727,11,7,"3975,9",5,4,5,545,Champions
12728,71,4,"836,33",3,3,3,333,At Risk
12729,114,1,"453,01",2,1,2,212,Nearly Lost
12731,24,12,"16412,85",4,5,5,455,Champions
12732,180,1,"236,26",2,1,1,211,Nearly Lost
12733,234,1,"383,95",1,1,2,112,Nearly Lost
12734,353,1,"110,4",1,1,1,111,Nearly Lost
12735,315,2,"779,57",1,2,3,123,Sleeping
12736,333,1,"183,6",1,1,1,111,Nearly Lost
12738,372,1,"155,35",1,1,1,111,Nearly Lost
12739,78,2,"1013,04",2,2,4,224,At Risk
12740,64,1,"427,6",3,1,2,312,Mass Customers
12743,134,2,"540,13",2,2,2,222,At Risk
12744,56,4,"8711,99",3,3,5,335,At Risk
12747,2,11,"4196,01",5,5,5,555,Champions
12748,1,205,"29063,32",5,5,5,555,Champions
12749,4,5,"4040,88",5,4,5,545,Champions
12750,129,1,"275,88",2,1,2,212,Nearly Lost
12752,81,1,"4366,78",2,1,5,215,Nearly Lost
12753,23,6,"19971,87",4,4,5,445,Champions
12754,236,3,"427,38",1,3,2,132,Sleeping
12755,281,1,"17,55",1,1,1,111,Nearly Lost
12756,87,1,"112,08",2,1,1,211,Nearly Lost
12757,16,9,"4232,75",4,4,5,445,Champions
12758,117,2,"2791,59",2,2,5,225,At Risk
12759,52,3,"1531,44",3,3,4,334,At Risk
12762,8,2,"1639,32",5,2,4,524,Potential Loyalists
12763,138,2,"494,08",2,2,2,222,At Risk
12764,317,1,"1693,88",1,1,4,114,Nearly Lost
12766,4,7,"6989,63",5,4,5,545,Champions
12769,239,1,"1143,6",1,1,4,114,Nearly Lost
12770,211,1,"1351,45",1,1,4,114,Nearly Lost
12772,60,1,"892,47",3,1,3,313,Nearly Lost
12775,17,5,"1386,04",4,4,4,444,Champions
12778,20,6,"799,55",4,4,3,443,Loyal
12779,38,8,"3981,36",3,4,5,345,At Risk
12781,64,2,"826,74",3,2,3,323,At Risk
12782,5,5,"2330,92",5,4,4,544,Champions
12783,2,4,"1603,87",5,3,4,534,Loyal
12784,9,2,"532,82",5,2,2,522,Potential Loyalists
12785,364,1,"311,95",1,1,2,112,Nearly Lost
12787,10,3,"463,66",5,3,2,532,Mass Customers
12789,65,1,"91,85",3,1,1,311,Mass Customers
12790,192,1,"324,92",1,1,2,112,Nearly Lost
12791,374,1,"192,6",1,1,1,111,Nearly Lost
12792,257,1,"400,54",1,1,2,112,Nearly Lost
12793,335,2,"545,48",1,2,2,122,Sleeping
12794,53,2,"860,41",3,2,3,323,At Risk
12795,19,1,"430,48",4,1,2,412,Potential Loyalists
12797,366,1,"254,03",1,1,2,112,Nearly Lost
12798,171,1,"69,12",2,1,1,211,Nearly Lost
12802,187,1,"427,58",1,1,2,112,Nearly Lost
12808,37,3,"483,65",3,3,2,332,At Risk
12809,178,1,"489,31",2,1,2,212,Nearly Lost
12811,261,3,"514,85",1,3,2,132,Sleeping
12812,45,1,"229,64",3,1,1,311,Mass Customers
12814,102,1,"125,92",2,1,1,211,Nearly Lost
12815,148,2,"1063,46",2,2,4,224,At Risk
12816,96,2,"572,2",2,2,3,223,At Risk
12817,281,1,"166,04",1,1,1,111,Nearly Lost
12818,262,1,"747,2",1,1,3,113,Nearly Lost
12820,3,4,"942,34",5,3,3,533,Loyal
12821,214,1,"92,72",1,1,1,111,Nearly Lost
12822,71,2,"948,88",3,2,3,323,At Risk
12823,75,5,"1759,5",3,4,4,344,At Risk
12824,60,1,"397,12",3,1,2,312,Mass Customers
12826,3,7,"1474,72",5,4,4,544,Champions
12827,6,3,"430,15",5,3,2,532,Mass Customers
12828,3,6,"1018,71",5,4,4,544,Champions
12829,337,2,"245,0",1,2,1,121,Nearly Lost
12830,91,4,"1961,12",2,3,4,234,At Risk
12831,262,1,"215,05",1,1,1,111,Nearly Lost
12832,32,2,"383,03",4,2,2,422,Potential Loyalists
12833,145,1,"417,38",2,1,2,212,Nearly Lost
12834,283,1,"312,38",1,1,2,112,Nearly Lost
12836,59,4,"2610,36",3,3,5,335,At Risk
12837,173,1,"134,1",2,1,1,211,Nearly Lost
12838,34,2,"671,95",4,2,3,423,Potential Loyalists
12839,3,14,"5591,42",5,5,5,555,Champions
12840,144,4,"2726,77",2,3,5,235,At Risk
12841,5,25,"3991,58",5,5,5,555,Champions
12842,70,2,"1118,99",3,2,4,324,At Risk
12843,66,8,"1702,26",3,4,4,344,At Risk
12844,29,2,"325,96",4,2,2,422,Potential Loyalists
12845,267,3,"145,29",1,3,1,131,Nearly Lost
12847,22,1,"843,64",4,1,3,413,Potential Loyalists
12849,31,2,"992,65",4,2,3,423,Potential Loyalists
12851,97,1,"131,81",2,1,1,211,Nearly Lost
12852,295,1,"311,55",1,1,2,112,Nearly Lost
12853,135,6,"1957,1",2,4,4,244,At Risk
12854,79,3,"1316,25",2,3,4,234,At Risk
12855,373,1,"38,1",1,1,1,111,Nearly Lost
12856,8,6,"2170,78",5,4,4,544,Champions
12857,211,2,"1106,4",1,2,4,124,Sleeping
12863,52,1,"521,2",3,1,2,312,Mass Customers
12864,138,1,"27,6",2,1,1,211,Nearly Lost
12865,26,2,"1568,23",4,2,4,424,Potential Loyalists
12866,283,1,"559,12",1,1,3,113,Nearly Lost
12867,26,7,"4009,34",4,4,5,445,Champions
12868,186,6,"1607,06",1,4,4,144,Sleeping
12871,84,2,"380,64",2,2,2,222,At Risk
12872,327,2,"599,97",1,2,3,123,Sleeping
12873,282,1,"374,0",1,1,2,112,Nearly Lost
12876,58,2,"2218,02",3,2,4,324,At Risk
12877,4,12,"1535,77",5,5,4,554,Champions
12878,236,2,"854,99",1,2,3,123,Sleeping
12879,45,3,"573,22",3,3,3,333,At Risk
12881,276,1,"103,0",1,1,1,111,Nearly Lost
12882,9,2,"1463,04",5,2,4,524,Potential Loyalists
12883,25,4,"703,47",4,3,3,433,Loyal
12884,88,1,"309,05",2,1,2,212,Nearly Lost
12885,63,3,"1175,22",3,3,4,334,At Risk
12886,68,2,"1378,4",3,2,4,324,At Risk
12888,214,2,"354,12",1,2,2,122,Sleeping
12890,24,1,"376,72",4,1,2,412,Potential Loyalists
12891,293,1,"42,0",1,1,1,111,Nearly Lost
12893,31,1,"176,55",4,1,1,411,Mass Customers
12895,42,2,"372,8",3,2,2,322,At Risk
12897,205,2,"216,5",1,2,1,121,Nearly Lost
12901,10,16,"3064,92",5,5,5,555,Champions
12902,265,1,"138,68",1,1,1,111,Nearly Lost
12904,18,2,"496,06",4,2,2,422,Potential Loyalists
12906,12,5,"2784,13",5,4,5,545,Champions
12909,40,5,"1723,67",3,4,4,344,At Risk
12910,23,8,"3075,04",4,4,5,445,Champions
12912,3,5,"1662,3",5,4,4,544,Champions
12913,5,5,"2483,63",5,4,4,544,Champions
12915,149,2,"363,65",2,2,2,222,At Risk
12916,139,4,"2944,95",2,3,5,235,At Risk
12917,128,1,"594,0",2,1,3,213,Nearly Lost
12919,8,6,"1335,19",5,4,4,544,Champions
12920,17,1,"162,78",4,1,1,411,Mass Customers
12921,9,37,"16587,09",5,5,5,555,Champions
12922,161,1,"405,38",2,1,2,212,Nearly Lost
12923,64,1,"171,57",3,1,1,311,Mass Customers
12924,88,4,"773,11",2,3,3,233,At Risk
12925,5,2,"694,05",5,2,3,523,Potential Loyalists
12928,35,5,"2028,14",4,4,4,444,Champions
12929,312,1,"117,85",1,1,1,111,Nearly Lost
12930,78,2,"415,8",2,2,2,222,At Risk
12931,30,8,"2053,22",4,4,4,444,Champions
12933,24,3,"603,53",4,3,3,433,Loyal
12935,2,7,"2160,7",5,4,4,544,Champions
12936,17,4,"1063,9",4,3,4,434,Loyal
12937,15,4,"1504,27",5,3,4,534,Loyal
12938,26,1,"114,14",4,1,1,411,Mass Customers
12939,64,8,"5921,52",3,4,5,345,At Risk
12940,55,2,"899,69",3,2,3,323,At Risk
12942,131,3,"675,6",2,3,3,233,At Risk
12944,36,2,"604,51",3,2,3,323,At Risk
12945,288,1,"462,95",1,1,2,112,Nearly Lost
12947,144,6,"1603,99",2,4,4,244,At Risk
12948,16,7,"2064,95",4,4,4,444,Champions
12949,31,8,"4167,22",4,4,5,445,Champions
12950,2,3,"1699,0",5,3,4,534,Loyal
12951,9,6,"1064,07",5,4,4,544,Champions
12952,6,4,"1387,79",5,3,4,534,Loyal
12953,10,1,"329,85",5,1,2,512,Potential Loyalists
12955,1,11,"4757,16",5,5,5,555,Champions
12956,306,1,"108,07",1,1,1,111,Nearly Lost
12957,10,8,"4014,66",5,4,5,545,Champions
12962,7,2,"266,39",5,2,2,522,Potential Loyalists
12963,8,8,"1856,63",5,4,4,544,Champions
12965,89,1,"769,81",2,1,3,213,Nearly Lost
12966,10,1,"160,18",5,1,1,511,Mass Customers
12967,358,2,"1660,9",1,2,4,124,Sleeping
12968,112,1,"135,95",2,1,1,211,Nearly Lost
12970,7,4,"405,47",5,3,2,532,Mass Customers
12971,4,86,"10347,59",5,5,5,555,Champions
12974,198,1,"144,8",1,1,1,111,Nearly Lost
12976,212,1,"738,6",1,1,3,113,Nearly Lost
12977,156,1,"39,24",2,1,1,211,Nearly Lost
12980,158,9,"6398,58",2,4,5,245,At Risk
12981,30,2,"372,22",4,2,2,422,Potential Loyalists
12982,243,1,"390,54",1,1,2,112,Nearly Lost
12984,19,1,"97,5",4,1,1,411,Mass Customers
12985,1,2,"1179,5",5,2,4,524,Potential Loyalists
12987,74,2,"558,7",3,2,3,323,At Risk
12988,292,1,"505,82",1,1,2,112,Nearly Lost
12989,3,14,"4731,71",5,5,5,555,Champions
12990,31,3,"409,5",4,3,2,432,Mass Customers
12991,23,2,"503,76",4,2,2,422,Potential Loyalists
12993,23,4,"414,76",4,3,2,432,Mass Customers
12994,4,3,"974,42",5,3,3,533,Loyal
12995,85,1,"211,32",2,1,1,211,Nearly Lost
12997,22,4,"1224,97",4,3,4,434,Loyal
12999,196,3,"455,88",1,3,2,132,Sleeping
13000,107,3,"534,85",2,3,2,232,At Risk
13001,4,13,"8693,85",5,5,5,555,Champions
13002,318,1,"120,95",1,1,1,111,Nearly Lost
13003,106,3,"149,05",2,3,1,231,Nearly Lost
13004,12,18,"5655,91",5,5,5,555,Champions
13005,174,2,"513,7",2,2,2,222,At Risk
13006,56,1,"81,57",3,1,1,311,Mass Customers
13008,323,1,"229,47",1,1,1,111,Nearly Lost
13011,372,1,"50,55",1,1,1,111,Nearly Lost
13012,9,8,"1646,84",5,4,4,544,Champions
13013,1,13,"4810,94",5,5,5,555,Champions
13014,11,10,"3466,28",5,5,5,555,Champions
13015,53,5,"3044,64",3,4,5,345,At Risk
13016,73,3,"789,89",3,3,3,333,At Risk
13017,7,1,"204,0",5,1,1,511,Mass Customers
13018,16,28,"7277,7",4,5,5,455,Champions
13021,4,9,"2616,38",5,4,5,545,Champions
13023,64,2,"689,9",3,2,3,323,At Risk
13026,1,4,"674,28",5,3,3,533,Loyal
13028,23,2,"661,32",4,2,3,423,Potential Loyalists
13029,31,3,"1247,5",4,3,4,434,Loyal
13030,11,2,"752,44",5,2,3,523,Potential Loyalists
13032,52,2,"1010,18",3,2,4,324,At Risk
13033,357,1,"190,55",1,1,1,111,Nearly Lost
13034,55,2,"642,77",3,2,3,323,At Risk
