invoice,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,revenue
563891,22423,REGENCY CAKESTAND 3 TIER,4,2011-08-19 17:02:00,12.75,14500,United Kingdom,51.0
547867,22730,ALARM CLOCK BAKELIKE IVORY,3,2011-03-27 13:56:00,3.75,13357,United Kingdom,11.25
580066,22940,FELTCRAFT CHRISTMAS FAIRY,4,2011-12-01 13:33:00,4.25,14309,United Kingdom,17.0
574873,21592,RETROSPOT CIGAR BOX MATCHES ,6,2011-11-07 13:01:00,1.25,16362,United Kingdom,7.5
543373,22148,EASTER CRAFT 4 CHICKS ,12,2011-02-07 15:04:00,1.95,16945,United Kingdom,23.4
569081,21824,PAINTED METAL STAR WITH HOLLY BELLS,24,2011-09-30 11:54:00,0.39,13972,United Kingdom,9.36
557776,23034,DRAWER KNOB CERAMIC BLACK,6,2011-06-22 15:07:00,1.45,14422,United Kingdom,8.7
546172,22939,APRON APPLE DELIGHT,2,2011-03-10 10:32:00,4.95,14156,EIRE,9.9
553856,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,2,2011-05-19 13:28:00,1.49,16813,United Kingdom,2.98
578289,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,2011-11-23 14:07:00,2.95,17841,United Kingdom,2.95
541241,35971,ROSE FOLKART HEART DECORATIONS,4,2011-01-16 11:08:00,1.25,13782,United Kingdom,5.0
548549,22776,SWEETHEART CAKESTAND 3 TIER,1,2011-03-31 19:55:00,9.95,16365,United Kingdom,9.95
574165,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,6,2011-11-03 11:36:00,2.95,14815,United Kingdom,17.7
547507,22586,FELTCRAFT HAIRBAND PINK AND BLUE,24,2011-03-23 13:39:00,0.85,16859,United Kingdom,20.4
557468,22996,TRAVEL CARD WALLET VINTAGE TICKET,6,2011-06-20 13:14:00,0.42,16713,United Kingdom,2.52
581414,23571,TRADITIONAL NAUGHTS & CROSSES,1,2011-12-08 14:39:00,1.65,14730,United Kingdom,1.65
577008,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-11-17 12:02:00,2.95,16869,United Kingdom,2.95
547657,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-03-24 12:58:00,2.55,13871,United Kingdom,15.3
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,2.75,17850,United Kingdom,22.0
542419,20681,PINK POLKADOT CHILDRENS UMBRELLA,1,2011-01-27 17:41:00,3.25,14662,United Kingdom,3.25
573399,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-10-30 15:35:00,1.45,13949,United Kingdom,17.4
563036,21914,BLUE HARMONICA IN BOX ,12,2011-08-11 14:55:00,1.25,14868,United Kingdom,15.0
538903,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2010-12-15 10:17:00,2.95,13496,United Kingdom,17.7
548198,47593A,CAROUSEL PONIES BABY BIB,3,2011-03-29 16:05:00,0.29,16712,United Kingdom,0.87
579273,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,12,2011-11-29 10:00:00,1.25,15197,United Kingdom,15.0
566913,22644,CERAMIC CHERRY CAKE MONEY BANK,4,2011-09-15 14:07:00,1.45,17602,United Kingdom,5.8
547665,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-03-24 13:17:00,4.95,14256,United Kingdom,29.7
556041,21931,JUMBO STORAGE BAG SUKI,2,2011-06-08 12:44:00,2.08,17954,United Kingdom,4.16
579087,84836,ZINC METAL HEART DECORATION,12,2011-11-28 10:35:00,1.25,13914,United Kingdom,15.0
573822,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-11-01 11:33:00,2.95,15527,United Kingdom,17.7
578106,22961,JAM MAKING SET PRINTED,96,2011-11-23 09:02:00,1.25,16133,United Kingdom,120.0
575707,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-11-10 17:16:00,4.95,12538,Spain,14.85
569486,22866,HAND WARMER SCOTTY DOG DESIGN,3,2011-10-04 12:51:00,2.1,15339,United Kingdom,6.3
542733,22686,FRENCH BLUE METAL DOOR SIGN No,1,2011-01-31 15:35:00,1.25,15058,United Kingdom,1.25
544688,15056P,EDWARDIAN PARASOL PINK,4,2011-02-23 08:29:00,5.95,18151,United Kingdom,23.8
555349,21135,VICTORIAN  METAL POSTCARD SPRING,8,2011-06-02 12:08:00,1.69,16729,United Kingdom,13.52
554163,84906,PINK BUTTERFLY CUSHION COVER,3,2011-05-23 11:52:00,1.95,14573,United Kingdom,5.85
537388,20725,LUNCH BAG RED RETROSPOT,20,2010-12-06 13:35:00,1.65,17682,United Kingdom,33.0
544591,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-02-21 15:20:00,5.95,13044,United Kingdom,11.9
570638,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2,2011-10-11 12:36:00,0.85,17888,United Kingdom,1.7
562602,21402,RED  EGG  SPOON,24,2011-08-08 10:11:00,0.12,12865,Austria,2.88
553405,21260,FIRST AID TIN,10,2011-05-17 08:37:00,3.25,14952,United Kingdom,32.5
540268,21879,HEARTS GIFT TAPE,24,2011-01-06 11:25:00,0.19,13458,United Kingdom,4.56
555000,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-05-31 08:03:00,1.65,18232,United Kingdom,9.9
556792,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,64,2011-06-14 13:52:00,0.65,17043,United Kingdom,41.6
543162,22511,RETROSPOT BABUSHKA DOORSTOP,1,2011-02-03 18:08:00,3.75,17507,United Kingdom,3.75
577478,21990,MODERN FLORAL STATIONERY SET,12,2011-11-20 11:33:00,1.25,15963,United Kingdom,15.0
552950,22770,MIRROR CORNICE,1,2011-05-12 12:01:00,14.95,16116,United Kingdom,14.95
536528,22077,6 RIBBONS RUSTIC CHARM,2,2010-12-01 13:17:00,1.65,15525,United Kingdom,3.3
544463,90063A,WHITE VINT ART DECO CRYSTAL NECKLAC,2,2011-02-20 14:31:00,8.5,12988,United Kingdom,17.0
578270,21929,JUMBO BAG PINK VINTAGE PAISLEY,3,2011-11-23 13:39:00,4.13,14096,United Kingdom,12.39
571743,22037,ROBOT BIRTHDAY CARD,12,2011-10-19 10:38:00,0.42,15853,United Kingdom,5.04
548974,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-04-05 11:47:00,2.95,15194,United Kingdom,17.7
546624,20749,ASSORTED COLOUR MINI CASES,2,2011-03-15 11:38:00,7.95,14193,United Kingdom,15.9
566599,22588,CARD HOLDER GINGHAM HEART,3,2011-09-13 15:37:00,2.89,15998,United Kingdom,8.67
559985,22617,BAKING SET SPACEBOY DESIGN,3,2011-07-14 11:46:00,4.95,16488,United Kingdom,14.85
580884,22509,SEWING BOX RETROSPOT DESIGN ,1,2011-12-06 12:21:00,3.95,15907,United Kingdom,3.95
563377,21754,HOME BUILDING BLOCK WORD,3,2011-08-16 10:44:00,5.95,15002,United Kingdom,17.85
551531,22619,SET OF 6 SOLDIER SKITTLES,4,2011-05-01 13:45:00,3.75,15376,United Kingdom,15.0
552826,22912,YELLOW COAT RACK PARIS FASHION,6,2011-05-11 13:20:00,4.95,14277,France,29.7
536528,22607,WOODEN ROUNDERS GARDEN SET ,1,2010-12-01 13:17:00,9.95,15525,United Kingdom,9.95
566564,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,8,2011-09-13 12:26:00,0.85,15522,United Kingdom,6.8
548655,48116,DOORMAT MULTICOLOUR STRIPE,2,2011-04-01 13:47:00,7.95,15605,United Kingdom,15.9
545188,22089,PAPER BUNTING VINTAGE PAISLEY,2,2011-02-28 15:19:00,2.95,14056,United Kingdom,5.9
556280,22500,SET OF 2 TINS JARDIN DE PROVENCE,1,2011-06-09 20:03:00,4.95,14584,United Kingdom,4.95
556193,10135,COLOURING PENCILS BROWN TUBE,10,2011-06-09 12:04:00,1.25,14132,United Kingdom,12.5
579559,23218,LAUREL STAR ANTIQUE GOLD,2,2011-11-30 11:30:00,1.25,16764,United Kingdom,2.5
569859,22481,BLACK TEA TOWEL CLASSIC DESIGN,4,2011-10-06 14:36:00,1.25,16814,United Kingdom,5.0
552820,22327,ROUND SNACK BOXES SET OF 4 SKULLS,6,2011-05-11 12:53:00,2.95,16644,United Kingdom,17.7
555937,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,2011-06-08 09:39:00,1.25,12683,France,30.0
571461,47369A,PINK GREEN EMBROIDERY COSMETIC BAG,1,2011-10-17 14:12:00,2.95,16932,United Kingdom,2.95
560590,22740,POLKADOT PEN,48,2011-07-19 15:55:00,0.85,12560,Germany,40.8
569824,23354,6 GIFT TAGS 50'S CHRISTMAS ,6,2011-10-06 12:22:00,0.83,17295,United Kingdom,4.98
568703,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-09-28 15:21:00,2.95,12748,United Kingdom,17.7
555521,82580,BATHROOM METAL SIGN,12,2011-06-05 11:21:00,0.55,13576,United Kingdom,6.6
562619,22670,FRENCH WC SIGN BLUE METAL,5,2011-08-08 12:34:00,1.25,15311,United Kingdom,6.25
554985,22555,PLASTERS IN TIN STRONGMAN,12,2011-05-29 12:26:00,1.65,12426,Germany,19.8
548648,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-04-01 13:20:00,2.95,12949,United Kingdom,17.7
568104,22575,METAL MERRY CHRISTMAS WREATH,8,2011-09-23 15:50:00,1.95,16485,United Kingdom,15.6
574826,22818,CARD CHRISTMAS VILLAGE,12,2011-11-07 10:58:00,0.42,15870,United Kingdom,5.04
555568,22561,WOODEN SCHOOL COLOURING SET,4,2011-06-05 15:25:00,1.65,17589,United Kingdom,6.6
577791,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,16,2011-11-21 16:36:00,0.42,17100,United Kingdom,6.72
540697,22297,HEART IVORY TRELLIS SMALL,24,2011-01-11 09:20:00,1.25,16670,United Kingdom,30.0
570093,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2011-10-07 11:55:00,12.75,18096,United Kingdom,12.75
571622,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,2011-10-18 10:58:00,0.83,14798,United Kingdom,6.64
575918,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-11-11 16:58:00,2.95,17191,United Kingdom,17.7
544452,85125,SMALL ROUND CUT GLASS CANDLESTICK,2,2011-02-20 12:32:00,4.95,14162,United Kingdom,9.9
538371,21809,CHRISTMAS HANGING TREE WITH BELL,2,2010-12-12 11:07:00,1.25,15570,United Kingdom,2.5
558647,23209,LUNCH BAG DOILEY PATTERN ,10,2011-07-01 10:39:00,1.65,14868,United Kingdom,16.5
540647,84050,PINK HEART SHAPE EGG FRYING PAN,9,2011-01-10 14:57:00,1.65,17406,United Kingdom,14.85
570167,20725,LUNCH BAG RED RETROSPOT,10,2011-10-07 14:04:00,1.65,15615,United Kingdom,16.5
578944,23191,BUNDLE OF 3 RETRO NOTE BOOKS,1,2011-11-27 13:41:00,1.65,16005,United Kingdom,1.65
551543,47566,PARTY BUNTING,4,2011-05-03 09:26:00,4.95,16055,United Kingdom,19.8
575512,23497,CLASSIC CHROME BICYCLE BELL ,12,2011-11-10 10:36:00,1.45,14121,United Kingdom,17.4
570861,22076,6 RIBBONS EMPIRE  ,12,2011-10-12 15:27:00,1.65,14775,United Kingdom,19.8
546006,21671,RED SPOT CERAMIC DRAWER KNOB,18,2011-03-08 15:22:00,1.25,17639,United Kingdom,22.5
563657,23188,VINTAGE  2 METER FOLDING RULER,12,2011-08-18 10:49:00,1.65,15615,United Kingdom,19.8
548363,35810A,ENAMEL PINK COFFEE CONTAINER,24,2011-03-30 15:48:00,0.83,12428,Finland,19.92
572035,22557,PLASTERS IN TIN VINTAGE PAISLEY ,96,2011-10-20 12:03:00,1.45,14646,Netherlands,139.2
550462,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-04-18 13:22:00,0.85,16458,United Kingdom,8.5
540992,22716,CARD CIRCUS PARADE,12,2011-01-12 16:57:00,0.42,17364,United Kingdom,5.04
550621,84596J,MIXED NUTS LIGHT GREEN BOWL,2,2011-04-19 13:41:00,0.42,13263,United Kingdom,0.84
580399,23355,HOT WATER BOTTLE KEEP CALM,1,2011-12-04 11:45:00,4.95,13471,United Kingdom,4.95
543597,22341,LOVE GARLAND PAINTED ZINC ,12,2011-02-10 12:32:00,1.65,12857,United Kingdom,19.8
569302,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-10-03 12:04:00,9.95,16205,United Kingdom,9.95
557598,22853,CAT BOWL VINTAGE CREAM,1,2011-06-21 11:33:00,3.25,14667,United Kingdom,3.25
562574,23088,ZINC HEART FLOWER T-LIGHT HOLDER,16,2011-08-07 12:42:00,1.25,14903,United Kingdom,20.0
577258,20727,LUNCH BAG  BLACK SKULL.,1,2011-11-18 12:27:00,1.65,16764,United Kingdom,1.65
565443,21880,RED RETROSPOT TAPE,12,2011-09-04 14:22:00,0.65,12567,France,7.8
563954,22623,BOX OF VINTAGE JIGSAW BLOCKS ,12,2011-08-22 10:59:00,5.95,16652,United Kingdom,71.4
541524,22518,CHILDS GARDEN BRUSH BLUE,6,2011-01-19 10:49:00,2.1,17091,United Kingdom,12.6
561466,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,6,2011-07-27 12:50:00,4.25,17243,United Kingdom,25.5
576172,82494L,WOODEN FRAME ANTIQUE WHITE ,48,2011-11-14 11:00:00,2.55,15482,United Kingdom,122.4
575481,21787,RAIN PONCHO RETROSPOT,5,2011-11-09 16:28:00,0.85,15679,United Kingdom,4.25
546724,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-03-16 11:02:00,2.1,12845,United Kingdom,2.1
574939,84580,MOUSE TOY WITH PINK T-SHIRT,1,2011-11-07 17:16:00,3.75,17109,United Kingdom,3.75
559866,23008,DOLLY GIRL BABY GIFT SET,1,2011-07-13 10:43:00,16.95,15795,United Kingdom,16.95
563253,17091J,VANILLA INCENSE IN TIN,2,2011-08-15 12:04:00,0.38,15218,United Kingdom,0.76
542354,22838,3 TIER CAKE TIN RED AND CREAM,1,2011-01-27 12:19:00,14.95,14709,United Kingdom,14.95
572302,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",2,2011-10-23 14:47:00,0.39,15427,United Kingdom,0.78
577106,22974,CHILDRENS DOLLY GIRL MUG,1,2011-11-17 17:18:00,1.65,14456,United Kingdom,1.65
580511,23237,SET OF 4 KNICK KNACK TINS LEAF,6,2011-12-04 13:54:00,4.15,12560,Germany,24.9
581149,85130B,BEADED CRYSTAL HEART GREEN LARGE,1,2011-12-07 14:12:00,0.79,15471,United Kingdom,0.79
577324,23509,MINI PLAYING CARDS FUN FAIR ,20,2011-11-18 14:01:00,0.42,16463,United Kingdom,8.4
573083,23553,LANDMARK FRAME CAMDEN TOWN ,2,2011-10-27 14:22:00,12.5,13735,United Kingdom,25.0
574536,22630,DOLLY GIRL LUNCH BOX,1,2011-11-04 14:35:00,1.95,15707,United Kingdom,1.95
550304,16237,SLEEPING CAT ERASERS,30,2011-04-17 10:27:00,0.21,14092,United Kingdom,6.3
579516,21871,SAVE THE PLANET MUG,1,2011-11-29 17:52:00,1.65,17841,United Kingdom,1.65
542107,21907,I'M ON HOLIDAY METAL SIGN,1,2011-01-25 13:38:00,2.1,16222,United Kingdom,2.1
552291,22087,PAPER BUNTING WHITE LACE,6,2011-05-08 14:00:00,2.95,15421,United Kingdom,17.7
557283,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,2011-06-19 12:26:00,1.95,16813,United Kingdom,1.95
580111,21636,MADRAS NOTEBOOK MEDIUM,12,2011-12-01 15:55:00,0.75,12950,United Kingdom,9.0
568675,22386,JUMBO BAG PINK POLKADOT,20,2011-09-28 13:32:00,1.79,14298,United Kingdom,35.8
550659,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-04-20 09:02:00,1.25,17730,United Kingdom,15.0
566482,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2011-09-13 09:43:00,5.95,16609,United Kingdom,17.85
574287,21592,RETROSPOT CIGAR BOX MATCHES ,1,2011-11-03 15:09:00,1.25,14723,United Kingdom,1.25
572279,22557,PLASTERS IN TIN VINTAGE PAISLEY ,2,2011-10-23 10:56:00,1.65,16066,United Kingdom,3.3
555574,23256,CHILDRENS CUTLERY SPACEBOY ,4,2011-06-05 15:46:00,4.15,12417,Belgium,16.6
572451,23202,JUMBO BAG VINTAGE LEAF,20,2011-10-24 12:36:00,2.08,12921,United Kingdom,41.6
574573,84030E,ENGLISH ROSE HOT WATER BOTTLE,1,2011-11-04 16:35:00,4.25,14592,United Kingdom,4.25
544939,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-02-25 10:10:00,1.25,17034,United Kingdom,15.0
553462,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-05-17 10:57:00,2.95,17147,United Kingdom,17.7
569897,22082,RIBBON REEL STRIPES DESIGN ,4,2011-10-06 16:01:00,1.65,17813,United Kingdom,6.6
566329,22664,TOY TIDY DOLLY GIRL DESIGN,4,2011-09-12 12:20:00,2.1,14527,United Kingdom,8.4
537381,22618,COOKING SET RETROSPOT,3,2010-12-06 13:13:00,9.95,14667,United Kingdom,29.85
574313,23404,HOME SWEET HOME BLACKBOARD,6,2011-11-03 17:45:00,4.95,13267,United Kingdom,29.7
543538,22487,WHITE WOOD GARDEN PLANT LADDER,1,2011-02-09 13:57:00,9.95,16143,United Kingdom,9.95
557956,21212,PACK OF 72 RETROSPOT CAKE CASES,3,2011-06-23 19:20:00,0.55,18283,United Kingdom,1.65
542727,21165,BEWARE OF THE CAT METAL SIGN ,2,2011-01-31 15:09:00,1.69,17604,United Kingdom,3.38
570806,22751,FELTCRAFT PRINCESS OLIVIA DOLL,4,2011-10-12 12:42:00,3.75,13115,United Kingdom,15.0
544657,22938,CUPCAKE LACE PAPER SET 6,12,2011-02-22 13:08:00,1.95,14895,United Kingdom,23.4
566847,23389,SPACEBOY MINI BACKPACK,2,2011-09-15 11:57:00,4.15,15005,United Kingdom,8.3
546752,22456,NATURAL SLATE CHALKBOARD LARGE ,6,2011-03-16 12:55:00,4.95,13299,United Kingdom,29.7
578941,85194S,HANGING SPRING FLOWER EGG SMALL,36,2011-11-27 13:26:00,0.19,16024,United Kingdom,6.84
565862,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-09-07 14:56:00,2.95,15885,United Kingdom,17.7
550525,21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,4,2011-04-19 10:19:00,2.95,14672,United Kingdom,11.8
575484,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-11-09 17:02:00,2.95,16670,United Kingdom,17.7
566988,22112,CHOCOLATE HOT WATER BOTTLE,6,2011-09-16 10:56:00,4.95,16709,United Kingdom,29.7
572309,23224,CHERUB HEART DECORATION GOLD,1,2011-10-23 15:29:00,0.83,14432,United Kingdom,0.83
558887,22424,ENAMEL BREAD BIN CREAM,1,2011-07-04 15:26:00,12.75,18265,United Kingdom,12.75
567818,22633,HAND WARMER UNION JACK,3,2011-09-22 12:41:00,2.1,14395,United Kingdom,6.3
547987,21398,RED POLKADOT COFFEE  MUG,48,2011-03-29 09:11:00,0.39,17428,United Kingdom,18.72
539043,22837,HOT WATER BOTTLE BABUSHKA ,4,2010-12-15 15:45:00,4.65,12928,United Kingdom,18.6
551160,22985,WRAP BILLBOARD FONTS DESIGN,25,2011-04-26 15:04:00,0.42,15237,United Kingdom,10.5
536707,22626,BLACK KITCHEN SCALES,2,2010-12-02 12:33:00,8.5,12915,United Kingdom,17.0
544463,90065A,WHITE VINTAGE CRYSTAL BRACELET,2,2011-02-20 14:31:00,6.75,12988,United Kingdom,13.5
546659,22383,LUNCH BAG SUKI DESIGN ,20,2011-03-15 14:25:00,1.65,16996,United Kingdom,33.0
572520,22470,HEART OF WICKER LARGE,40,2011-10-24 15:05:00,2.55,13165,United Kingdom,102.0
554489,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2011-05-24 13:46:00,3.75,17272,United Kingdom,45.0
561658,22750,FELTCRAFT PRINCESS LOLA DOLL,1,2011-07-28 16:06:00,3.75,12743,Unspecified,3.75
579167,82494L,WOODEN FRAME ANTIQUE WHITE ,2,2011-11-28 14:06:00,2.95,16800,United Kingdom,5.9
547549,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,2011-03-23 15:40:00,0.85,14794,United Kingdom,10.2
575842,22158,3 HEARTS HANGING DECORATION RUSTIC,4,2011-11-11 12:01:00,2.95,15024,United Kingdom,11.8
562256,22625,RED KITCHEN SCALES,2,2011-08-03 15:14:00,8.5,15152,United Kingdom,17.0
571054,85049C,ROMANTIC PINKS RIBBONS ,1,2011-10-13 13:58:00,1.25,14234,United Kingdom,1.25
